sample,pop,super_pop,gender,gender_numeric,pop_numeric,super_pop_numeric
HG00096,GBR,EUR,male,1,6,4
HG00097,GBR,EUR,female,2,6,4
HG00099,GBR,EUR,female,2,6,4
HG00100,GBR,EUR,female,2,6,4
HG00101,GBR,EUR,male,1,6,4
HG00102,GBR,EUR,female,2,6,4
HG00103,GBR,EUR,male,1,6,4
HG00105,GBR,EUR,male,1,6,4
HG00106,GBR,EUR,female,2,6,4
HG00107,GBR,EUR,male,1,6,4
HG00108,GBR,EUR,male,1,6,4
HG00109,GBR,EUR,male,1,6,4
HG00110,GBR,EUR,female,2,6,4
HG00111,GBR,EUR,female,2,6,4
HG00112,GBR,EUR,male,1,6,4
HG00113,GBR,EUR,male,1,6,4
HG00114,GBR,EUR,male,1,6,4
HG00115,GBR,EUR,male,1,6,4
HG00116,GBR,EUR,male,1,6,4
HG00117,GBR,EUR,male,1,6,4
HG00118,GBR,EUR,female,2,6,4
HG00119,GBR,EUR,male,1,6,4
HG00120,GBR,EUR,female,2,6,4
HG00121,GBR,EUR,female,2,6,4
HG00122,GBR,EUR,female,2,6,4
HG00123,GBR,EUR,female,2,6,4
HG00125,GBR,EUR,female,2,6,4
HG00126,GBR,EUR,male,1,6,4
HG00127,GBR,EUR,female,2,6,4
HG00128,GBR,EUR,female,2,6,4
HG00129,GBR,EUR,male,1,6,4
HG00130,GBR,EUR,female,2,6,4
HG00131,GBR,EUR,male,1,6,4
HG00132,GBR,EUR,female,2,6,4
HG00133,GBR,EUR,female,2,6,4
HG00136,GBR,EUR,male,1,6,4
HG00137,GBR,EUR,female,2,6,4
HG00138,GBR,EUR,male,1,6,4
HG00139,GBR,EUR,male,1,6,4
HG00140,GBR,EUR,male,1,6,4
HG00141,GBR,EUR,male,1,6,4
HG00142,GBR,EUR,male,1,6,4
HG00143,GBR,EUR,male,1,6,4
HG00145,GBR,EUR,male,1,6,4
HG00146,GBR,EUR,female,2,6,4
HG00148,GBR,EUR,male,1,6,4
HG00149,GBR,EUR,male,1,6,4
HG00150,GBR,EUR,female,2,6,4
HG00151,GBR,EUR,male,1,6,4
HG00154,GBR,EUR,female,2,6,4
HG00155,GBR,EUR,male,1,6,4
HG00157,GBR,EUR,male,1,6,4
HG00158,GBR,EUR,female,2,6,4
HG00159,GBR,EUR,male,1,6,4
HG00160,GBR,EUR,male,1,6,4
HG00171,FIN,EUR,female,2,5,4
HG00173,FIN,EUR,female,2,5,4
HG00174,FIN,EUR,female,2,5,4
HG00176,FIN,EUR,female,2,5,4
HG00177,FIN,EUR,female,2,5,4
HG00178,FIN,EUR,female,2,5,4
HG00179,FIN,EUR,female,2,5,4
HG00180,FIN,EUR,female,2,5,4
HG00181,FIN,EUR,male,1,5,4
HG00182,FIN,EUR,male,1,5,4
HG00183,FIN,EUR,male,1,5,4
HG00185,FIN,EUR,male,1,5,4
HG00186,FIN,EUR,male,1,5,4
HG00187,FIN,EUR,male,1,5,4
HG00188,FIN,EUR,male,1,5,4
HG00189,FIN,EUR,male,1,5,4
HG00190,FIN,EUR,male,1,5,4
HG00231,GBR,EUR,female,2,6,4
HG00232,GBR,EUR,female,2,6,4
HG00233,GBR,EUR,female,2,6,4
HG00234,GBR,EUR,male,1,6,4
HG00235,GBR,EUR,female,2,6,4
HG00236,GBR,EUR,female,2,6,4
HG00237,GBR,EUR,female,2,6,4
HG00238,GBR,EUR,female,2,6,4
HG00239,GBR,EUR,female,2,6,4
HG00240,GBR,EUR,female,2,6,4
HG00242,GBR,EUR,male,1,6,4
HG00243,GBR,EUR,male,1,6,4
HG00244,GBR,EUR,male,1,6,4
HG00245,GBR,EUR,female,2,6,4
HG00246,GBR,EUR,male,1,6,4
HG00250,GBR,EUR,female,2,6,4
HG00251,GBR,EUR,male,1,6,4
HG00252,GBR,EUR,male,1,6,4
HG00253,GBR,EUR,female,2,6,4
HG00254,GBR,EUR,female,2,6,4
HG00255,GBR,EUR,female,2,6,4
HG00256,GBR,EUR,male,1,6,4
HG00257,GBR,EUR,female,2,6,4
HG00258,GBR,EUR,female,2,6,4
HG00259,GBR,EUR,female,2,6,4
HG00260,GBR,EUR,male,1,6,4
HG00261,GBR,EUR,female,2,6,4
HG00262,GBR,EUR,female,2,6,4
HG00263,GBR,EUR,female,2,6,4
HG00264,GBR,EUR,male,1,6,4
HG00265,GBR,EUR,male,1,6,4
HG00266,FIN,EUR,female,2,5,4
HG00267,FIN,EUR,male,1,5,4
HG00268,FIN,EUR,female,2,5,4
HG00269,FIN,EUR,female,2,5,4
HG00271,FIN,EUR,male,1,5,4
HG00272,FIN,EUR,female,2,5,4
HG00273,FIN,EUR,male,1,5,4
HG00274,FIN,EUR,female,2,5,4
HG00275,FIN,EUR,female,2,5,4
HG00276,FIN,EUR,female,2,5,4
HG00277,FIN,EUR,male,1,5,4
HG00278,FIN,EUR,male,1,5,4
HG00280,FIN,EUR,male,1,5,4
HG00281,FIN,EUR,female,2,5,4
HG00282,FIN,EUR,female,2,5,4
HG00284,FIN,EUR,male,1,5,4
HG00285,FIN,EUR,female,2,5,4
HG00288,FIN,EUR,female,2,5,4
HG00290,FIN,EUR,male,1,5,4
HG00304,FIN,EUR,female,2,5,4
HG00306,FIN,EUR,female,2,5,4
HG00308,FIN,EUR,male,1,5,4
HG00309,FIN,EUR,female,2,5,4
HG00310,FIN,EUR,male,1,5,4
HG00311,FIN,EUR,male,1,5,4
HG00313,FIN,EUR,female,2,5,4
HG00315,FIN,EUR,female,2,5,4
HG00318,FIN,EUR,female,2,5,4
HG00319,FIN,EUR,female,2,5,4
HG00320,FIN,EUR,female,2,5,4
HG00321,FIN,EUR,male,1,5,4
HG00323,FIN,EUR,female,2,5,4
HG00324,FIN,EUR,female,2,5,4
HG00325,FIN,EUR,male,1,5,4
HG00326,FIN,EUR,female,2,5,4
HG00327,FIN,EUR,female,2,5,4
HG00328,FIN,EUR,female,2,5,4
HG00329,FIN,EUR,male,1,5,4
HG00330,FIN,EUR,female,2,5,4
HG00331,FIN,EUR,female,2,5,4
HG00332,FIN,EUR,female,2,5,4
HG00334,FIN,EUR,female,2,5,4
HG00335,FIN,EUR,male,1,5,4
HG00336,FIN,EUR,male,1,5,4
HG00337,FIN,EUR,female,2,5,4
HG00338,FIN,EUR,male,1,5,4
HG00339,FIN,EUR,female,2,5,4
HG00341,FIN,EUR,male,1,5,4
HG00342,FIN,EUR,male,1,5,4
HG00343,FIN,EUR,female,2,5,4
HG00344,FIN,EUR,female,2,5,4
HG00345,FIN,EUR,male,1,5,4
HG00346,FIN,EUR,female,2,5,4
HG00349,FIN,EUR,female,2,5,4
HG00350,FIN,EUR,female,2,5,4
HG00351,FIN,EUR,male,1,5,4
HG00353,FIN,EUR,female,2,5,4
HG00355,FIN,EUR,female,2,5,4
HG00356,FIN,EUR,female,2,5,4
HG00357,FIN,EUR,female,2,5,4
HG00358,FIN,EUR,male,1,5,4
HG00360,FIN,EUR,male,1,5,4
HG00361,FIN,EUR,female,2,5,4
HG00362,FIN,EUR,female,2,5,4
HG00364,FIN,EUR,female,2,5,4
HG00365,FIN,EUR,female,2,5,4
HG00366,FIN,EUR,male,1,5,4
HG00367,FIN,EUR,female,2,5,4
HG00368,FIN,EUR,female,2,5,4
HG00369,FIN,EUR,male,1,5,4
HG00371,FIN,EUR,male,1,5,4
HG00372,FIN,EUR,male,1,5,4
HG00373,FIN,EUR,female,2,5,4
HG00375,FIN,EUR,male,1,5,4
HG00376,FIN,EUR,female,2,5,4
HG00378,FIN,EUR,female,2,5,4
HG00379,FIN,EUR,female,2,5,4
HG00380,FIN,EUR,female,2,5,4
HG00381,FIN,EUR,female,2,5,4
HG00382,FIN,EUR,male,1,5,4
HG00383,FIN,EUR,female,2,5,4
HG00384,FIN,EUR,female,2,5,4
HG00403,CHS,EAS,male,1,3,3
HG00404,CHS,EAS,female,2,3,3
HG00406,CHS,EAS,male,1,3,3
HG00407,CHS,EAS,female,2,3,3
HG00409,CHS,EAS,male,1,3,3
HG00410,CHS,EAS,female,2,3,3
HG00419,CHS,EAS,female,2,3,3
HG00421,CHS,EAS,male,1,3,3
HG00422,CHS,EAS,female,2,3,3
HG00428,CHS,EAS,female,2,3,3
HG00436,CHS,EAS,male,1,3,3
HG00437,CHS,EAS,female,2,3,3
HG00442,CHS,EAS,male,1,3,3
HG00443,CHS,EAS,female,2,3,3
HG00445,CHS,EAS,male,1,3,3
HG00446,CHS,EAS,female,2,3,3
HG00448,CHS,EAS,male,1,3,3
HG00449,CHS,EAS,female,2,3,3
HG00451,CHS,EAS,male,1,3,3
HG00452,CHS,EAS,female,2,3,3
HG00457,CHS,EAS,male,1,3,3
HG00458,CHS,EAS,female,2,3,3
HG00463,CHS,EAS,male,1,3,3
HG00464,CHS,EAS,female,2,3,3
HG00472,CHS,EAS,male,1,3,3
HG00473,CHS,EAS,female,2,3,3
HG00475,CHS,EAS,male,1,3,3
HG00476,CHS,EAS,female,2,3,3
HG00478,CHS,EAS,male,1,3,3
HG00479,CHS,EAS,female,2,3,3
HG00500,CHS,EAS,male,1,3,3
HG00513,CHS,EAS,female,2,3,3
HG00524,CHS,EAS,male,1,3,3
HG00525,CHS,EAS,female,2,3,3
HG00530,CHS,EAS,male,1,3,3
HG00531,CHS,EAS,female,2,3,3
HG00533,CHS,EAS,male,1,3,3
HG00534,CHS,EAS,female,2,3,3
HG00536,CHS,EAS,male,1,3,3
HG00537,CHS,EAS,female,2,3,3
HG00542,CHS,EAS,male,1,3,3
HG00543,CHS,EAS,female,2,3,3
HG00551,PUR,AMR,female,2,12,2
HG00553,PUR,AMR,male,1,12,2
HG00554,PUR,AMR,female,2,12,2
HG00556,CHS,EAS,male,1,3,3
HG00557,CHS,EAS,female,2,3,3
HG00559,CHS,EAS,male,1,3,3
HG00560,CHS,EAS,female,2,3,3
HG00565,CHS,EAS,male,1,3,3
HG00566,CHS,EAS,female,2,3,3
HG00580,CHS,EAS,male,1,3,3
HG00581,CHS,EAS,female,2,3,3
HG00583,CHS,EAS,male,1,3,3
HG00584,CHS,EAS,female,2,3,3
HG00589,CHS,EAS,male,1,3,3
HG00590,CHS,EAS,female,2,3,3
HG00592,CHS,EAS,male,1,3,3
HG00593,CHS,EAS,female,2,3,3
HG00595,CHS,EAS,male,1,3,3
HG00596,CHS,EAS,female,2,3,3
HG00598,CHS,EAS,male,1,3,3
HG00599,CHS,EAS,female,2,3,3
HG00607,CHS,EAS,male,1,3,3
HG00608,CHS,EAS,female,2,3,3
HG00610,CHS,EAS,male,1,3,3
HG00611,CHS,EAS,female,2,3,3
HG00613,CHS,EAS,male,1,3,3
HG00614,CHS,EAS,female,2,3,3
HG00619,CHS,EAS,male,1,3,3
HG00620,CHS,EAS,female,2,3,3
HG00622,CHS,EAS,male,1,3,3
HG00623,CHS,EAS,female,2,3,3
HG00625,CHS,EAS,male,1,3,3
HG00626,CHS,EAS,female,2,3,3
HG00628,CHS,EAS,male,1,3,3
HG00629,CHS,EAS,female,2,3,3
HG00631,CHS,EAS,male,1,3,3
HG00632,CHS,EAS,female,2,3,3
HG00634,CHS,EAS,male,1,3,3
HG00637,PUR,AMR,male,1,12,2
HG00638,PUR,AMR,female,2,12,2
HG00640,PUR,AMR,male,1,12,2
HG00641,PUR,AMR,female,2,12,2
HG00650,CHS,EAS,male,1,3,3
HG00651,CHS,EAS,female,2,3,3
HG00653,CHS,EAS,male,1,3,3
HG00654,CHS,EAS,female,2,3,3
HG00656,CHS,EAS,male,1,3,3
HG00657,CHS,EAS,female,2,3,3
HG00662,CHS,EAS,male,1,3,3
HG00663,CHS,EAS,female,2,3,3
HG00671,CHS,EAS,male,1,3,3
HG00672,CHS,EAS,female,2,3,3
HG00674,CHS,EAS,male,1,3,3
HG00675,CHS,EAS,female,2,3,3
HG00683,CHS,EAS,male,1,3,3
HG00684,CHS,EAS,female,2,3,3
HG00689,CHS,EAS,male,1,3,3
HG00690,CHS,EAS,female,2,3,3
HG00692,CHS,EAS,male,1,3,3
HG00693,CHS,EAS,female,2,3,3
HG00698,CHS,EAS,male,1,3,3
HG00699,CHS,EAS,female,2,3,3
HG00701,CHS,EAS,male,1,3,3
HG00704,CHS,EAS,male,1,3,3
HG00705,CHS,EAS,female,2,3,3
HG00707,CHS,EAS,male,1,3,3
HG00708,CHS,EAS,female,2,3,3
HG00717,CHS,EAS,female,2,3,3
HG00728,CHS,EAS,male,1,3,3
HG00729,CHS,EAS,female,2,3,3
HG00731,PUR,AMR,male,1,12,2
HG00732,PUR,AMR,female,2,12,2
HG00734,PUR,AMR,female,2,12,2
HG00736,PUR,AMR,male,1,12,2
HG00737,PUR,AMR,female,2,12,2
HG00739,PUR,AMR,male,1,12,2
